TIPO,OBSERVACION
Semi-restringido(previo permiso),Costo de ingreso: adulto S/ 3 - niño(a): S/ 1
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
Libre,"Contactar con el Sr. Eliseo Nuñez Bautista, Cel 998041812"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general para el recorrido en fábrica: S/7.00 Estudiantes: S/5.00 Ingreso libre a tienda
Libre,
Semi-restringido(previo permiso),Previa coordinación con la Parroquia - 944109837
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general S/ 2.00
Libre,Previa coordinación con el presidente de la asociación
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso adultos: S/15.00 niños y adulto mayor: S/8.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa nacional o extranjero S/. 5.00 soles, Visitante local S/. 3.00"
Libre,Recomendable con un orientador local. Comunicarse con la Oficina de Información Turística Tel: 972550691
Libre,
Semi-restringido(previo permiso),Coordinar con el Alcalde del Centro Poblado de Challapampa Sr. Wilfredo Mayta Velasquez - telefono celular 931893836
Libre,"Los putucos son visibles desde la carretera, se debe pedir permiso al propietario para la visita turística."
,
,
,
,
,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general: S/ 10.00 Entrada para observadores de aves: S/ 20.00.
Libre,
Semi-restringido(previo permiso),Coordinar con los pobladores de la comunidad. Asociación Encanto de la fauna silvestre de las cataratas de alto shambillo
,
,
,
,
Libre,
,
,
,
Semi-restringido(previo permiso),Previa coordinación con el párroco o con el guardián
,
Libre,Todos los días desde las 9am hasta las 4pm.
Libre,
Libre,
Libre,
Libre,Previa coordinación con el Centro Poblado de Lamparaquen Marno
,
,
,
Libre,
Libre,
Libre,
Libre,
,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de S/.65.00 nuevos soles al PNH para 30 días de permanencia. Extranjero S/. 30.00 Nacional S/.15.00 Local S/. 5.00
Semi-restringido(previo permiso),Ingreso autorizado por SERNANP. Ing. Carolina Guevara 968218439
,
Libre,
Libre,
,
Libre,
Semi-restringido(previo permiso),Previa coordinación con Leydi Ugalde Solórzano (943 924 409)
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con el párroco Pbro Elisban Cayulla - tlf. 051 799239
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños S/5.50 (03-11 años) Adultos S/10.00 (12 años a más) Adulto mayor S/5.50 (60 años a más) Contactarse con la Asociación Circuito Ecoturístico Lomas de Lúcumo al +51 997 944 148
Semi-restringido(previo permiso),Permiso del Parque Nacional Alto Purus
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa adulto S/ 2.00 soles Tarifa Niños S/ 1.00 sol
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa de por persona para recorrido completo: Estudiantes S/ 10.00; Adultos S/ 20.00. No incluye el servicio de alimentación.
Libre,
Libre,
,
Libre,PIURA
,
,
Libre,
,
Libre,
Libre,
Libre,
Libre,
Libre,
,
Libre,En coordinación con la comunidad
,
Semi-restringido(previo permiso),"Se puede observar desde fuera la represa, pero para el interior se debe obtener un permiso por Oficio al director del PECHP."
Libre,
Libre,
Libre,
Libre,
,
Libre,Previo registro de datos en la recepción
Libre,
Libre,
Libre,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","- Derecho de ingreso al recurso: S/ 3.00 adultos, S/ 2.00 niños. - Costo por el servicio de las agencias de viajes autorizadas: S/ 30.00 a S/ 35.00"
Libre,Las actividades de canotaje y otras se realizan con agencias autorizadas
Libre,El espacio es abierto
,
,
Libre,
Libre,
,
Semi-restringido(previo permiso),"Previa coordinación con el. Sr. Juan Cisnero Villanueva, Celular : 993926886 .Tarifa es de 5 nuevos soles: Niños menores de 5 años y Adulto mayor no pagan."
,
Libre,En coordinación con la comunidad de Caya tocco encargado sr. Hector Gusman 973542255
Semi-restringido(previo permiso),Coordinación previa en el C.P. de Acconsaya - 950 383 833
,
Libre,
Libre,"Se recomienda llevar lentes de sol, bloqueador solar, agua y gorra."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Visita diurna: General: S/15 Reducida: S/7.50 (niños de 5 a 12 años, estudiantes supe., profesores, adultos mayores) Escolares en delegación: S/ 1.00 Visita nocturna: General: S/ 17 Reducida: S/ 8.5"
,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
,
Otros (especificar),Restringido. Autorización Padre Pedro Hidalgo Díaz. Celular: 937192753 Fijo: (01) 4770472. Correo informes@lasantisimacruzdebarranco.org.pe
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada turistas: S/30 soles. Peruanos y residentes: S/20 soles Estudiantes, niños y jubilados: S/ 10 soles"
,
,
Libre,
,
,
Libre,PLAYA
Libre,
Semi-restringido(previo permiso),"Previa inscripción -con días de anticipación- a los teléfonos 3113908 ó 3113900 anexo 4308, de lunes a jueves de 08:30 am a 05:00 pm."
Semi-restringido(previo permiso),"Previa inscripción al Facebook Desarrollo Económico MML. En caso de instituciones, deberán realizar su reserva al correo visitalima@munlima.gob.pe."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/10.00 Adultos; S/5.00 Estudiantes; S/.1.00 Niños y escolares
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Las visitas guiadas tienen un costo de S/ 7.00, universitario S/3.50, niño y adulto mayor S/1.50"
,
Semi-restringido(previo permiso),"Previa coordinación con la Gerencia de Gestión del Desarrollo Social de la Municipalidad Provincial de Huaura - Huacho. José Tuesta, teléfono: 2325334. jtuesta@munihuacho.gob.pe."
Libre,
Libre,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Para visita S/. 5 adultos y S/. 1.50 niños. Para acampar: S/. 10 adultos y S/. 5 x día. Grupos mayores de 25 personas previa autorización.
Semi-restringido(previo permiso),Coordinar con la Dirección de la Institución Educativa Secundaria María Auxiliadora
Libre,
Libre,
Semi-restringido(previo permiso),"Coordinación previa con la Sra. Maritza Mosquera, cel: 991 837 258"
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
,
Libre,
Libre,
Libre,De lunes a domingo
,
,
,
,
,
,
Semi-restringido(previo permiso),"Previa coordinación con los miembros de la Comunidad Campesina San Cristóbal de Rapaz. Sr. Miguel Gallardo Condor , Celular : 957450181"
Semi-restringido(previo permiso),"Previo permiso de la Sra. Dionicia Quispe, cel: 910345673"
Libre,Recomendable con un orientador turístico local.
Semi-restringido(previo permiso),"Previa coordinación con presidente de comité de turismo de la Comunidad Campesina Santiago de Carampoma, vía correo electrónico: turismocarampomah@gmail.com y al teléfono 997693168."
,
Libre,"Ingreso libre previa coordinación con el siguiente contacto ,Secretaria: María Luisa Talavera Vásquez ,mtalavera@unjfsc.edu.pe – Cel: 999458531"
Libre,"Coordinar con el sr. Saturnino Quispe Presidente de la comunidad, cel. 951338958"
,
,
,
,
,
,
,
,
Semi-restringido(previo permiso),Coordinación con el Padre María 989880764
Libre,HORA DE VISITA: Lunes a viernes de 10:00 am a 01:00 pm / Domingo en horario de misa de 05:00 pm a 08:00 pm
,
,
Libre,
Libre,
Semi-restringido(previo permiso),"Previa coordinación con Sr.Wilfredo Santa Cruz Tocto , Celular : 902153102"
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 10.00 - Estudiantes S/ 5.00 - Niños S/ 5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre","Ingreso por el complejo arqueológico de Sillustani: Tarifa general S/. 15.00, Tarifa estudiante universitario S/ 5.00, Tarifa menores de edad S/ 2 .00, gratis para residentes del distrito Atuncolla.#Por otros puntos que no sean el complejo arqueológico de Sillustani."
Libre,
Libre,Previa coordinación con el párroco cel. 919155839.
Libre,Durante las ceremonias y acciones religiosas
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Semi-restringido(previo permiso)","Previa autorización de la jefatura del PNBS Extranjeros: s/. 30.00 Nacionales: s/. 15.00 Menores: s/. 8.00#Autorización y venta de tickets en oficina de Puno, Pasaje 2 de Febrero n° 154, 3er piso. Telef: 051-363960. Registro de visitantes en el puesto de vigilancia y control Putina Punco. El primer domingo"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/.3.00, Jovenes S/.3.00, Niños S/.1.50"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",adultos 5.00 soles y estudiantes 1.00 sol
Semi-restringido(previo permiso),Previa coordinación con el Sr. Erik Trurrizaga Payano. Celular :922 145 451
Semi-restringido(previo permiso),"Ingreso libre previa coordinación con el Sr. Juan Carlos La Rosa López – Oficina de Educación, Cultura, Deporte, Recreación y Juventudes, Celular : 995870663"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos: S/. 11.00; Niños, Jubilados: S/. 1.00; Universitarios, escolares y docentes: S/. 4.00. Servicio de guiado: S/. 20.00 por grupo de 15 persona"
,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/ 2.00
,
,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Se coordina previamente con el representante religioso Juan Antonio Fernández Salvador para el permiso. N° de contacto : 239-3011.
Libre,
,
,
,
Libre,"El ingreso es libre, respetando el horario que ha designado la administración de lunes a viernes de 8am. A 7pm. Sábados y domingos de 8am. A 1pm."
Semi-restringido(previo permiso),"Permiso con 24 horas de anticipado mediante documento, indicando nombres N.º DNI y motivo de visita, dirigido al Sr. Víctor Macedo Cuenca, Jefe del PNRA, cel. 968218437"
Libre,
Libre,
,
Libre,
Semi-restringido(previo permiso),"Se debe solicitar permiso de ingreso a la Asociación Civil para la Promoción del Ecoturismo Nikolov Pioneros del Rio Abiseo – Juanjui al 918918651 / 942656802, con 24 horas de anticipación."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/. 2.00 adultos
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso por un día. •Extranjero: s/. 30.00. •Nacional: Adultos s/. 15.00, Niños de 5 a 17 años: S/. 5.00 • Local: Adultos s/. 5.00 y niños de 5 a 17 años: S/. 3.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",s/. 2.00 adultos
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto S/ 5.00 - Niños y estudiantes S/ 3.00, el primer domingo de cada mes el ingreso es libre."
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Previa autorización de Paucarpata/ Jose Contreras 966397570
Semi-restringido(previo permiso),"Previo registro en el pueblo de Yantac; para actividades turísticas programadas comunicarse previamente con el Encargado: Emilio J. Robles Guadalupe, Cel. 956722798 Email: emilioroblesg22@gmail.com"
Libre,
,
,
Semi-restringido(previo permiso),"Contactar en la tienda de la Sra. Luisa Campos, quién tiene la llave de la iglesia. También Sra Domilita Mendoza trabajadora de la Municipalidad Distrital de Yura 919460124 Sub Gerencia Desarrollo Ec"
,
Libre,
,
,
Libre,
Libre,
,
Libre,
Libre,
Libre,
Libre,
,
Libre,
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","La boletería está administrada por la asociación, la cual cobra un ticket de ingreso al recurso turístico con un valor de S/ 4.00 para adultos y S/ 2.00 para niños."
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa General: 20 soles
Semi-restringido(previo permiso),"Se debe coordinar con la administración de COCLA, ubicada en la Av. Edgar de la Torre N.° 1353 – Quillabamba, al número telefónico 944 206 636, con la administradora Rosa de Fátima Curo."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general (adulto nacional o extranjero) S/228.00; Estudiante universitario o técnico: S/ 114.00; Menores de edad S/ 57.00.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto ( Nacional o extranjero) = S/22 ; Estudiante S/ 11.00 soles; Escolar (8 a 17 años) S/ 8 y Niños menores de 8 años gratis.
Semi-restringido(previo permiso),"Coordinar con el Padre Marco Acostupa, al celular 950060533"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto general (nacional o extranjero) S/ 300.00, estudiante universitario o técnico (con carnet válido) S/ 150.00, menores de edad (hasta 17 años) S/ 75.00."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Público general (nacionales y extranjeros) S/ 300.00; Estudiantes universitarios (con carnet) s/ 150.00; Menores de edad : S/75.00 ; Personal de apoyo (porteadores, etc.): S/ 50.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto general (nacional o extranjero) S/ 300.00, estudiante universitario o técnico (con carnet válido) S/ 150.00, menores de edad (hasta 17 años) S/ 75.00."
Libre,
Semi-restringido(previo permiso),Previo permiso de la ASOCIACIÓN AGRARIA THASTAYOC ABRA MÁLAGA : Presidente de la Asociación: señor Juan Tillca
Libre,
Libre,
Libre,
,
Libre,
Libre,Se recomienda registrarse en el Cuaderno de Registro de Visitantes habilitado en la Municipalidad Distrital de Parco
,
,
,
,
,
,
,
,
,
,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 5.00 - Estudiantes de educación escolares: S/. 3.00.
Libre,
,
Libre,
Libre,"Debido a la falta de señalización en la ruta, solo se permite la visita durante el día y con la compañía de un guía autorizado para garantizar la seguridad y la correcta orientación en el recorrido."
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/. 1.00
,
,
Semi-restringido(previo permiso),Solo con autorización de la Municipalidad Distrital de Saña. Contacto: Jaime Linares - Cel. 972 697 426.
Libre,
Semi-restringido(previo permiso),Observación externa; acceso interior restringido y solo con autorización de la Municipalidad Distrital de Saña. Contacto: Jaime Linares - Ce.l 972 697 426.
